first_name,last_name,birth_date,phone,home_address,home_postal_code,home_city,hire_date,exit_date,sin,driver_licence,issue_date,expiry_date
Bartel,Dall,1997-08-15,102-380-7032,86 Vermont Park,G5T 7X1,North Vancouver,2018-06-05,,181851393,258-86-4796,2019-05-05,2024-5-5
Rosina,Cometto,1969-08-08,233-252-5017,8623 Troy Court,P9N 9M9,Maple Ridge,2018-04-24,,172585272,820-82-8671,2021-06-02,2026-6-2
Franni,Weal,1998-08-19,743-299-7389,2219 Esch Terrace,E8N 3C5,Surrey,2016-05-05,,579450697,229-71-5339,2021-06-17,2026-6-17
Robbin,Enriquez,1975-06-13,271-943-8710,46676 Sommers Court,R8A 6V6,West Vancouver,2018-04-14,2021-06-29,681729390,817-59-4003,2021-02-09,2026-2-9
Leigha,Szepe,1968-03-25,135-987-2103,61187 Paget Plaza,R2C 8X1,Maple Ridge,2016-10-20,,470793155,423-02-0095,2021-03-16,2026-3-16
Lindi,Innott,1988-03-10,600-622-9587,241 Morrow Drive,T8R 9J2,Delta,2021-06-22,,483235308,829-35-1431,2019-01-25,2024-1-25
Seumas,Skouling,1972-12-18,734-749-4436,34 Kensington Place,B2H 5C8,Richmond,2019-10-21,,784279392,728-47-3597,2018-11-30,2023-11-30
Consalve,Wornham,1999-03-18,387-413-0563,810 Doe Crossing Circle,E9C 7X7,Burnaby,2018-12-21,,834615092,530-80-6237,2018-04-27,2023-4-27
Andris,Lansdowne,1987-10-20,627-573-4765,10542 Sutherland Junction,G0M 6G3,Richmond,2020-05-12,,140128115,254-37-9598,2021-02-15,2026-2-15
Mel,Bruty,1982-12-30,952-372-2064,74 Petterle Alley,S2V 1J4,Burnaby,2019-10-03,,516264196,428-66-2639,2019-07-27,2024-7-27
Mozes,Freyn,1967-02-12,972-195-9044,181 West Hill,N3B 6E6,Coquitlam,2019-10-14,,226721954,698-68-4744,2020-01-14,2025-1-14
Violet,Stoneman,1999-01-08,474-846-9831,121 Pearson Place,B1W 7C3,Richmond,2016-08-25,,185867180,306-58-1971,2019-06-03,2024-6-3
Ailey,MacBrearty,1970-03-06,411-245-2518,361 Marquette Terrace,L9L 6C5,Richmond,2021-07-01,,111596709,437-95-3628,2021-02-24,2026-2-24
Kissee,Staining,1964-11-28,127-967-2139,71625 Swallow Court,L1A 3A6,West Vancouver,2020-04-17,,163237583,496-18-3375,2021-03-26,2026-3-26
Kial,Huffadine,1998-05-05,623-457-9233,433 Farmco Drive,B1K 0R6,Burnaby,2019-03-29,,759219659,862-14-7087,2021-07-06,2026-7-6
Ragnar,Mathet,2000-07-07,463-157-1412,25851 Russell Street,J5A 6Y1,Burnaby,2018-03-03,,284633617,509-22-2703,2018-09-23,2023-9-23
Alasteir,Lemar,1984-11-25,331-745-8931,784 Clove Alley,J0E 9N2,Burnaby,2021-06-12,2019-10-31,731299867,899-62-1514,2020-04-02,2025-4-2
Tanny,Marjanovic,1985-11-17,263-323-8501,133 Marquette Junction,L7C 6C6,Burnaby,2021-10-27,,591413310,226-02-1782,2019-07-21,2024-7-21
Lola,Goodsall,1972-01-16,461-217-3855,486 Marquette Parkway,T9X 0G5,New Westminster,2019-03-12,,247225544,168-24-5203,2020-04-10,2025-4-10
Emlyn,Gotling,1982-07-30,272-512-8941,6 Bellgrove Street,V1R 2Y0,Burnaby,2016-11-30,,398262136,667-90-5826,2019-07-18,2024-7-18
Aristotle,Zukerman,1985-08-28,448-489-7998,2575 Mccormick Alley,B5A 5G1,Richmond,2016-05-23,,674097982,839-37-5603,2019-10-24,2024-10-24
Cos,Amber,1989-11-14,181-551-9192,77 Twin Pines Drive,V1L 3S0,Coquitlam,2017-01-07,,171103963,890-02-3595,2018-05-26,2023-5-26
Missy,Biernacki,1963-03-17,556-353-4872,54 Crownhardt Park,G8P 4V5,Richmond,2019-08-15,,250041788,468-15-9810,2019-07-02,2024-7-2
Cammie,Babington,1980-01-26,259-642-8730,04642 Bunting Alley,G7P 9N6,West Vancouver,2016-11-17,2019-10-28,557797930,451-07-2882,2020-03-01,2025-3-1
Roxy,Coot,1988-03-05,851-265-6342,87 Roth Drive,E5R 6H7,Richmond,2019-05-02,,636929634,521-07-3285,2020-08-09,2025-8-9
Sidney,Stone,1970-12-27,801-196-8978,2700 Eliot Street,E4Z 1Y6,North Vancouver,2017-02-25,,691857622,874-75-5110,2020-06-27,2025-6-27
Munroe,Tschirschky,1962-05-19,321-315-3936,569 Maple Wood Plaza,E4E 6J0,Coquitlam,2018-10-11,,584778758,374-65-6450,2021-03-12,2026-3-12
Kenon,Primmer,1970-05-18,149-529-5452,50 Hoffman Point,K4C 5B3,Langley,2020-02-10,,782778166,753-09-3720,2021-03-12,2026-3-12
James,McClurg,1964-05-03,854-319-7211,70937 Sommers Trail,V1E 6R3,New Westminster,2016-02-23,,178353072,220-47-0205,2018-05-22,2023-5-22
Shena,Borman,1999-06-14,894-674-4526,10149 Talmadge Junction,E6A 9C0,Coquitlam,2017-11-06,,444171884,537-91-5218,2017-12-31,2022-12-31
Zak,Streatfield,1971-06-02,822-439-7946,637 Northland Hill,A1X 8B6,Burnaby,2019-02-04,2021-01-11,563510027,428-10-2885,2019-11-05,2024-11-5
Wallie,Abele,1987-04-03,838-367-7779,017 Becker Circle,H5A 7Y5,Delta,2020-05-25,,300376729,351-41-6571,2019-04-01,2024-4-1
Tedra,Urion,1979-03-21,614-641-4546,97 Elka Lane,E6G 5P1,Richmond,2019-11-02,,767528148,336-13-8096,2018-05-18,2023-5-18
Sukey,Munt,1982-04-12,738-179-1754,68709 Dapin Pass,J9V 6J9,Burnaby,2016-01-25,,149315116,270-97-1703,2020-10-27,2025-10-27
Erinna,Leaves,1987-05-22,847-992-3646,0015 Duke Road,L7B 5M0,Coquitlam,2020-08-29,,716771247,876-78-0263,2017-11-27,2022-11-27
Veriee,Rizzone,1987-07-11,808-782-0404,1109 Schurz Park,L4G 9J3,Abbotsford,2018-08-13,,432332001,651-47-6527,2019-10-09,2024-10-9
Hillery,Sheahan,2000-09-14,561-367-2152,721 Ohio Pass,T9W 9J9,Surrey,2017-10-11,2017-07-26,412975421,309-60-0222,2020-07-25,2025-7-25
Carolyn,Kiebes,1993-06-23,501-148-5479,02837 Reindahl Hill,J2W 7H5,Delta,2021-03-02,2019-07-31,687576805,714-21-2212,2017-12-15,2022-12-15
Lucie,Parham,1991-05-03,953-125-6117,503 Badeau Hill,J7M 1K7,Surrey,2018-10-23,,590798140,843-47-5693,2019-02-27,2024-2-27
Jeremie,Galero,1973-06-27,272-756-3554,39756 Talisman Street,H4C 5P8,Langley,2020-05-05,2020-11-15,460350900,446-83-7836,2020-07-07,2025-7-7
Lowell,Turmell,1991-06-30,313-790-7887,4609 Holy Cross Trail,E5R 6H7,Vancouver,2019-09-19,,815636609,235-36-4242,2021-08-08,2026-8-8
Guillermo,Ginman,1971-08-27,287-330-8582,22 Springs Trail,N5C 7B0,Surrey,2021-01-03,,794377136,169-85-6167,2019-08-17,2024-8-17
Penny,O'Keevan,1986-12-09,319-774-7785,6380 Granby Parkway,H3X 3E6,Burnaby,2019-12-31,,221415377,456-51-0810,2020-02-08,2025-2-8
Rutter,Maddin,1965-04-03,265-718-6412,55642 Red Cloud Drive,J8M 0L2,Richmond,2017-07-10,,156740465,273-04-3828,2020-05-15,2025-5-15
Freddy,Rosensaft,1990-01-05,512-872-4136,9 Longview Drive,J4B 0K3,Coquitlam,2015-11-23,,174909337,664-51-2177,2018-04-11,2023-4-11
