first_name,last_name,birth_date,phone,home_address,home_postal_code,home_city,hire_date,exit_date,sin
Sylvia,Bolstridge,1986-09-16,279-727-2485,3717 Redwing Parkway,T8L 2J6,Surrey,2018-04-23,2019-06-29,224705842
Marmaduke,Pethybridge,1989-08-27,490-248-0001,0314 Dayton Way,E9C 7X7,Richmond,2019-10-14,,285858804
Goldy,Robeiro,1985-11-21,117-477-3289,3385 Tennessee Circle,B2G 7L3,Maple Ridge,2020-05-17,,110904388
Emelina,Mulholland,1987-10-15,779-269-2569,1 Atwood Circle,E5R 3H6,Surrey,2020-06-26,2019-03-11,605946081
Natka,Sleford,1964-12-15,381-367-9439,30050 Clemons Pass,T8R 6C4,Langley,2017-07-18,,970542883
Marji,Van Der Hoog,1961-07-14,847-526-3154,48814 Northridge Crossing,V9B 3A4,Vancouver,2018-10-02,,995227105
Rica,Klaussen,1963-02-26,397-244-6585,4659 Old Shore Place,L3Z 2N6,West Vancouver,2020-09-21,,393065608
Clarance,Dufour,1991-07-20,287-758-2625,49751 Mcguire Street,B9A 4R2,New Westminster,2016-02-15,2018-10-26,812739379
Loleta,Gosneye,1979-10-11,187-752-5366,5 Rigney Drive,T4E 4R3,Richmond,2017-06-19,,384141526
Jayme,Simcoe,1969-07-05,987-500-3147,9008 Golden Leaf Avenue,G8K 7K3,Richmond,2020-07-29,,450262595
Raychel,Dobbin,1972-06-04,679-752-2422,655 Forster Plaza,B1T 5R2,Surrey,2016-06-13,,373784486
Herold,Juschke,1990-06-20,161-227-8338,63083 Ridge Oak Trail,X0C 7C7,Coquitlam,2019-09-30,2020-04-29,501731473
Giustino,Gabby,1973-09-19,226-243-5724,949 Trailsway Street,N9V 2N6,Langley,2018-09-17,,907069232
Loralie,Auten,1960-12-07,212-512-0576,71013 Huxley Street,E4Z 1Y6,Surrey,2020-03-09,,327253878
Calley,Martijn,1990-12-11,683-159-1303,7 Shopko Court,V1R 2Y0,Richmond,2015-12-14,,937618470
Ignatius,Nowakowska,1986-12-13,601-499-7949,4 Lunder Terrace,T4L 8S8,Abbotsford,2020-01-11,,751036427
Rowen,Richings,1979-07-15,553-920-2930,9971 Sullivan Parkway,L4G 2S9,North Vancouver,2020-04-08,,985057549
Waite,Kiddle,1981-10-30,535-865-8510,97023 Steensland Drive,J9P 7B4,Langley,2016-02-03,,995099501
Aksel,Clerc,1961-07-05,418-811-6001,58133 Mifflin Way,K7A 9B7,Coquitlam,2017-06-23,,230972421
Marietta,Trobridge,1973-02-11,376-949-1037,86 Dunning Place,E5V 2A0,Delta,2021-09-22,,375733066
Chrysler,Andri,1963-04-23,214-207-5873,500 Roxbury Point,E1W 9R6,Coquitlam,2020-05-02,,612403003
Mathe,Bittlestone,1994-03-21,417-918-5846,75 Almo Junction,E4T 0E2,Maple Ridge,2015-12-10,,826455388
Teri,Handmore,1962-11-11,180-931-0542,13 Monterey Circle,C0A 9K4,Vancouver,2019-02-07,,525469089
Aldis,Mandre,1983-07-14,282-614-0700,9 Lawn Alley,E8G 1P6,North Vancouver,2021-05-27,,560462521
Barnebas,Moar,1986-02-01,418-863-7261,9598 American Alley,B2G 7L3,Coquitlam,2021-09-21,,128261552
Lucky,Wadham,1980-07-30,821-854-8853,49 Vahlen Street,A1K 3P4,New Westminster,2017-06-12,,474705870
Fina,Mussen,1964-12-29,547-233-2472,9 Darwin Trail,X0C 6R9,New Westminster,2019-06-20,,176141012
Skipper,Spraggs,1995-06-30,300-577-3959,18 Armistice Drive,E7J 8S7,Maple Ridge,2017-12-08,2019-07-11,155907934
Johny,Beagin,1986-12-29,522-215-2727,23505 Oak Circle,E8N 5R9,Coquitlam,2018-09-25,,269189529
Eberto,Georgiades,1963-07-29,656-278-9764,281 Lotheville Alley,G8K 3P5,Abbotsford,2017-03-03,,331529882
Violet,Grimbaldeston,1962-04-25,699-734-1040,5 Crest Line Park,J6R 8A0,Richmond,2019-04-28,,955491600
Astrid,Joost,1966-01-10,359-990-1117,824 Brown Lane,H9J 9V8,Burnaby,2016-06-12,,533250403
Theo,Sloane,1982-11-06,303-332-1177,47 Charing Cross Lane,J4V 0H3,West Vancouver,2017-10-14,,907881798
Wren,Court,1961-04-24,267-133-0306,1 Brown Terrace,T9V 8N6,West Vancouver,2018-05-15,,713045742
